province_id,province,year,GINIW_province,gdppc
53,Phra Nakhon Sri Ayuthaya,2017,0.03075248,344252
53,Phra Nakhon Sri Ayuthaya,2018,0.029571949,348046
53,Phra Nakhon Sri Ayuthaya,2019,0.029421726,336049
53,Phra Nakhon Sri Ayuthaya,2020,0.028886534,327246
53,Phra Nakhon Sri Ayuthaya,2021,0.028179523,351460
32,Phrae,2014,0.048692424,38805
32,Phrae,2015,0.042881839,39022
32,Phrae,2016,0.039685562,42519
32,Phrae,2017,0.035603374,43536
32,Phrae,2018,0.033390328,45840
32,Phrae,2019,0.030276081,46258
32,Phrae,2020,0.027633537,46325
32,Phrae,2021,0.027951347,46691
44,Phuket,2014,0.010217293,210813
44,Phuket,2015,0.009580482,232369
44,Phuket,2016,0.008712334,256258
44,Phuket,2017,0.008826528,264717
44,Phuket,2018,0.008833844,282538
44,Phuket,2019,0.008244814,288726
44,Phuket,2020,0.007427045,170005
44,Phuket,2021,0.007420499,123429
52,Prachin Buri,2014,0.035291795,316356
52,Prachin Buri,2015,0.034647055,300964
52,Prachin Buri,2016,0.034721747,342551
52,Prachin Buri,2017,0.033173244,411683
52,Prachin Buri,2018,0.032864381,440256
52,Prachin Buri,2019,0.031736393,476481
52,Prachin Buri,2020,0.031344716,436056
52,Prachin Buri,2021,0.0324778,420198
22,Ranong,2014,0.048550166,66996
22,Ranong,2015,0.048092462,64146
22,Ranong,2016,0.047579169,67962
22,Ranong,2017,0.035778657,69963
22,Ranong,2018,0.032833282,72253
22,Ranong,2019,0.033169001,68073
22,Ranong,2020,0.029543068,69857
22,Ranong,2021,0.02794292,65834
30,Ratchaburi,2014,0.035459045,124086
30,Ratchaburi,2015,0.034645543,128136
30,Ratchaburi,2016,0.033600487,128946
30,Ratchaburi,2017,0.031193767,128919
30,Ratchaburi,2018,0.02980965,129518
30,Ratchaburi,2019,0.028615516,126288
30,Ratchaburi,2020,0.027631577,118431
30,Ratchaburi,2021,0.02644789,120170
51,Rayong,2014,0.04045457,520625
51,Rayong,2015,0.037060354,529456
51,Rayong,2016,0.037907127,535535
51,Rayong,2017,0.036670025,547006
51,Rayong,2018,0.034315731,531760
51,Rayong,2019,0.034854524,516423
51,Rayong,2020,0.033494752,475183
51,Rayong,2021,0.035908222,470602
0,Roi Et,2014,0.028413564,37089
0,Roi Et,2015,0.02627524,37706
0,Roi Et,2016,0.027832678,39151
0,Roi Et,2017,0.023255084,40904
0,Roi Et,2018,0.0223975,42326
0,Roi Et,2019,0.023059219,41608
0,Roi Et,2020,0.022449667,43163
0,Roi Et,2021,0.021793805,44408
75,Sa Kaew,2014,0.028557394,38905
75,Sa Kaew,2015,0.026791776,40314
75,Sa Kaew,2016,0.023553172,40967
75,Sa Kaew,2017,0.022607207,42692
75,Sa Kaew,2018,0.026683426,46938
75,Sa Kaew,2019,0.025474342,46239
75,Sa Kaew,2020,0.022083499,43624
75,Sa Kaew,2021,0.021925775,44220
24,Sakon Nakhon,2014,0.042835962,31909
24,Sakon Nakhon,2015,0.039940808,32904
24,Sakon Nakhon,2016,0.042920869,35576
24,Sakon Nakhon,2017,0.033992812,36247
24,Sakon Nakhon,2018,0.033809923,37611
24,Sakon Nakhon,2019,0.033525679,37574
24,Sakon Nakhon,2020,0.031671412,39624
24,Sakon Nakhon,2021,0.029185329,40563
69,Samut Prakan,2014,0.014301204,269853
69,Samut Prakan,2015,0.013575842,270260
69,Samut Prakan,2016,0.013906959,265735
69,Samut Prakan,2017,0.012596199,268011
69,Samut Prakan,2018,0.012715979,283951
69,Samut Prakan,2019,0.012507233,273142
69,Samut Prakan,2020,0.01195054,223453
69,Samut Prakan,2021,0.011501857,220570
68,Samut Sakhon,2014,0.016004451,273432
68,Samut Sakhon,2015,0.016792787,266144
68,Samut Sakhon,2016,0.01681927,267829
68,Samut Sakhon,2017,0.015427939,268689
68,Samut Sakhon,2018,0.014825794,275571
68,Samut Sakhon,2019,0.015055253,281082
68,Samut Sakhon,2020,0.014014132,277863
68,Samut Sakhon,2021,0.014344535,278001
50,Samut Songkhram,2014,0.015275084,66514
50,Samut Songkhram,2015,0.014132824,67757
50,Samut Songkhram,2016,0.013517006,68516
50,Samut Songkhram,2017,0.012570641,81055
50,Samut Songkhram,2018,0.011023538,85022
50,Samut Songkhram,2019,0.009695958,88525
50,Samut Songkhram,2020,0.008620359,89966
50,Samut Songkhram,2021,0.008872253,94719
17,Saraburi,2014,0.029463334,202239
17,Saraburi,2015,0.028067453,203270
17,Saraburi,2016,0.027377246,209085
17,Saraburi,2017,0.025716098,205510
17,Saraburi,2018,0.025803108,211026
17,Saraburi,2019,0.026424607,210262
17,Saraburi,2020,0.025662061,198703
17,Saraburi,2021,0.024519734,201692
76,Satun,2014,0.019988231,79790
76,Satun,2015,0.018327722,79463
76,Satun,2016,0.015954295,76497
76,Satun,2017,0.014542629,71632
76,Satun,2018,0.013388945,69469
76,Satun,2019,0.012045075,69915
76,Satun,2020,0.011730343,71864
76,Satun,2021,0.011629783,70633
12,Si Sa Ket,2014,0.030578189,35853
12,Si Sa Ket,2015,0.027866801,37309
12,Si Sa Ket,2016,0.030214831,39358
12,Si Sa Ket,2017,0.023688138,41130
12,Si Sa Ket,2018,0.022022724,42660
12,Si Sa Ket,2019,0.022321258,41385
12,Si Sa Ket,2020,0.020481981,43878
12,Si Sa Ket,2021,0.019622378,45178
49,Singburi,2014,0.019728858,83203
49,Singburi,2015,0.018890066,79112
49,Singburi,2016,0.020161238,80139
49,Singburi,2017,0.019611351,84474
49,Singburi,2018,0.019105777,88705
49,Singburi,2019,0.017547056,88450
49,Singburi,2020,0.016209384,82647
49,Singburi,2021,0.014659738,83952
43,Songkhla,2014,0.065457977,99051
43,Songkhla,2015,0.061011367,102688
43,Songkhla,2016,0.058743395,102724
43,Songkhla,2017,0.053462047,98669
43,Songkhla,2018,0.052477632,101807
43,Songkhla,2019,0.053417142,97371
43,Songkhla,2020,0.051234752,93574
43,Songkhla,2021,0.052965287,94557
7,Sukhothai,2014,0.040064387,39673
7,Sukhothai,2015,0.0379305,38707
7,Sukhothai,2016,0.042206023,40468
7,Sukhothai,2017,0.039012805,42571
7,Sukhothai,2018,0.037310828,46129
7,Sukhothai,2019,0.035555933,44840
7,Sukhothai,2020,0.034734216,42192
7,Sukhothai,2021,0.033312816,42645
48,Suphan Buri,2014,0.031359583,55256
48,Suphan Buri,2015,0.030310186,58034
48,Suphan Buri,2016,0.031044297,54419
48,Suphan Buri,2017,0.027009606,57321
48,Suphan Buri,2018,0.027437197,61604
48,Suphan Buri,2019,0.026427059,60737
48,Suphan Buri,2020,0.02529039,57316
48,Suphan Buri,2021,0.023792643,58634
11,Surat Thani,2014,0.059390888,101444
11,Surat Thani,2015,0.058348838,103695
11,Surat Thani,2016,0.056028321,104307
11,Surat Thani,2017,0.052061841,109546
11,Surat Thani,2018,0.051790107,109314
11,Surat Thani,2019,0.051719666,108761
11,Surat Thani,2020,0.04923939,92177
11,Surat Thani,2021,0.050631389,89067
5,Surin,2014,0.030913612,36602
5,Surin,2015,0.029952759,38607
5,Surin,2016,0.031104291,39882
5,Surin,2017,0.027478782,41142
5,Surin,2018,0.027561991,44141
5,Surin,2019,0.028709779,44244
5,Surin,2020,0.025872588,46555
5,Surin,2021,0.022133797,47257
26,Tak,2014,0.06432417,48376
26,Tak,2015,0.065480612,50304
26,Tak,2016,0.064915158,50475
26,Tak,2017,0.060328592,51004
26,Tak,2018,0.060381182,59150
26,Tak,2019,0.061552301,65547
26,Tak,2020,0.06063604,60821
26,Tak,2021,0.057914015,58457
47,Trang,2014,0.037151583,64591
47,Trang,2015,0.036612708,62344
47,Trang,2016,0.036353394,64626
47,Trang,2017,0.032596674,64599
47,Trang,2018,0.03201209,61635
47,Trang,2019,0.032196265,60333
47,Trang,2020,0.030023111,60959
47,Trang,2021,0.02842797,62215
29,Trat,2014,0.03137498,96576
29,Trat,2015,0.02814378,93884
29,Trat,2016,0.026239453,86298
29,Trat,2017,0.02580082,99515
29,Trat,2018,0.027971406,90876
29,Trat,2019,0.027699796,93885
29,Trat,2020,0.030699076,97195
29,Trat,2021,0.029327203,90858
41,Ubon Ratchathani,2014,0.055266403,37510
41,Ubon Ratchathani,2015,0.051809486,40082
41,Ubon Ratchathani,2016,0.054038275,41970
41,Ubon Ratchathani,2017,0.046641104,44319
41,Ubon Ratchathani,2018,0.047326304,44007
41,Ubon Ratchathani,2019,0.047298662,44059
41,Ubon Ratchathani,2020,0.044174682,45030
41,Ubon Ratchathani,2021,0.042580202,46426
23,Udon Thani,2014,0.045689177,51334
23,Udon Thani,2015,0.043618537,52946
23,Udon Thani,2016,0.04519695,53625
23,Udon Thani,2017,0.03880138,54549
23,Udon Thani,2018,0.037551668,56378
23,Udon Thani,2019,0.038530465,56835
23,Udon Thani,2020,0.035986107,54889
23,Udon Thani,2021,0.03534399,56735
18,Uthai Thani,2014,0.048206322,55979
18,Uthai Thani,2015,0.046413921,53361
18,Uthai Thani,2016,0.04858809,51944
18,Uthai Thani,2017,0.044425346,56163
18,Uthai Thani,2018,0.045748468,62498
18,Uthai Thani,2019,0.046742316,57333
18,Uthai Thani,2020,0.045941912,50101
18,Uthai Thani,2021,0.038843066,55821
34,Uttaradit,2014,0.058222093,46758
34,Uttaradit,2015,0.055672783,43321
34,Uttaradit,2016,0.054627981,44946
34,Uttaradit,2017,0.046513602,54064
34,Uttaradit,2018,0.045678854,56236
34,Uttaradit,2019,0.04446375,53765
34,Uttaradit,2020,0.044252031,51746
34,Uttaradit,2021,0.045367878,54669
33,Yala,2014,0.049138404,50035
33,Yala,2015,0.050540254,48179
33,Yala,2016,0.047700822,50762
33,Yala,2017,0.046133298,48282
33,Yala,2018,0.045069344,53062
33,Yala,2019,0.04800209,52511
33,Yala,2020,0.043445643,53373
33,Yala,2021,0.040279917,54151
31,Yasothon,2014,0.032535665,32862
31,Yasothon,2015,0.030216046,32500
31,Yasothon,2016,0.031828273,34338
31,Yasothon,2017,0.023432791,34743
31,Yasothon,2018,0.023220193,36240
31,Yasothon,2019,0.024661388,36359
31,Yasothon,2020,0.022479245,38760
31,Yasothon,2021,0.023134261,40601
