province_id,province,gdp,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Si Sa Ket,Construction,1818.191063,2106.173951,1382.863335,816.767653,756.838074,738.494415,718.312872,912.160148,949.980971,1109.962952,1133.45259,1221.792481,1397.446294,1241.324567,1597.093358,1608.695835,1539.598262,1422.657361,1572.869577,1813.447666,1753.648098,1955.170445,2037.507082,2113.415362,2027.204406,2114.436443,1989.939308
3,Nongbua Lamphu,Construction,602.310227,844.575967,691.864074,333.366415,352.869064,423.801693,276.35357,328.797592,336.334165,598.066916,479.676669,507.757624,518.257074,404.41872,521.782209,423.801322,479.928869,524.184989,619.453372,575.972941,790.896834,837.384743,749.385049,928.00521,934.058409,1008.497185,1114.251596
67,Amnat Chareon,Construction,885.934316,1275.158984,906.155864,299.79972,372.218871,414.441511,333.802742,429.824848,470.71973,545.032165,454.163087,359.653548,731.733895,485.571089,535.983956,625.584144,528.351939,602.656294,694.139991,651.38524,630.560372,685.605208,639.389787,647.688635,607.806111,669.395224,732.786502
39,Bueng Kan,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.740558,520.140226,647.033597,891.38798,572.406527,608.971213,901.596727,914.512162,1083.832131,1097.717981,1090.321697
65,Chiang Mai,Construction,6998.437497,7952.83876,10356.55051,5826.628886,6090.763893,4404.940675,6653.961208,5699.745986,6419.930208,6246.741944,7284.217916,6171.694358,6444.862436,6717.411864,6323.236069,6865.273306,6816.724352,9150.485517,9608.064601,7473.204394,8634.855602,9979.512145,10003.95032,9966.533197,9055.843571,9088.007979,8648.685181
37,Lampang,Construction,3078.895773,4725.949132,3409.192284,1647.292024,2037.630286,1610.232058,1595.028429,1864.281847,2087.39248,1620.712361,1602.457164,1642.450745,1895.813993,1484.524428,1930.27405,2605.7795,2200.216338,2214.008612,1958.712215,2315.996611,2233.891942,2318.838933,2339.547319,2457.807852,2443.051968,2550.213014,2660.54744
34,Uttaradit,Construction,1054.38717,1746.265222,928.218131,520.751062,679.147261,674.146464,575.96507,617.537901,706.454102,874.230825,977.142837,913.868878,940.102265,946.061833,1064.441391,712.45573,915.294965,1186.149478,1142.839754,1114.328085,1128.623204,1312.186636,1361.619458,1553.141279,1456.479714,1606.486618,1801.609883
74,Mae Hong Son,Construction,398.999864,446.670381,367.601548,267.070524,228.559368,330.190459,296.462253,379.668781,393.231689,453.375875,346.023832,449.049583,695.677071,520.764722,546.974344,607.074762,615.573959,514.667602,574.404559,551.339544,915.51716,575.016304,722.508939,638.116713,614.510867,600.750676,660.421741
25,Chiang Rai,Construction,2295.653836,2636.245708,2086.97414,1484.542354,1766.514859,1303.496019,1200.737154,1869.923934,1870.355812,1524.554444,1821.556089,1767.352548,2009.822611,2055.978318,2153.053194,1492.022293,1674.980493,1597.260639,2301.326419,2360.02421,3040.143182,3460.968218,3387.502646,3799.879215,3801.368647,3696.872922,3751.274843
32,Phrae,Construction,1105.574563,1392.695012,1007.101068,599.870678,652.488798,782.325906,775.228055,1257.949022,990.493474,1192.986711,1379.585774,1350.904889,1171.690036,1279.521464,1062.195185,1127.521207,974.724668,1106.686703,1069.448607,966.118598,886.679382,1067.48715,1089.050182,1068.690592,1119.463452,1111.420881,1104.990988
28,Lamphun,Construction,900.551815,1013.472053,837.958202,385.771139,478.772465,757.479338,664.92224,871.479958,1108.8561,1051.808247,1414.545919,1329.309279,1233.674445,1076.548517,1022.703387,850.679762,1011.926221,1069.002546,1033.037187,1144.494402,1389.184736,1222.885035,1227.474876,1470.618438,1615.112369,1704.694199,1503.844361
70,Nan,Construction,1635.927985,1813.217652,1628.098488,773.223847,816.73317,808.392753,892.108405,1138.590804,990.506994,822.888005,801.034963,702.618487,835.808711,795.287095,789.959014,768.23576,726.888313,1101.397722,980.418533,926.026399,1138.904611,1320.798979,1317.463363,1343.374445,1365.251158,1464.715046,1802.280121
1,Phayao,Construction,1176.862708,1426.661733,802.444469,543.4004,534.216007,508.74149,452.899175,584.868016,515.142092,695.105823,678.703591,756.329842,909.911955,757.035608,866.363998,816.219374,745.53584,773.884509,818.157866,779.204925,997.042925,1441.478843,1325.514623,1302.032587,1380.903028,1377.933477,1318.341035
2,Nakhon Sawan,Construction,1959.395776,2390.561391,1781.34294,1260.764942,1314.587328,1084.762325,858.106183,1440.06385,1649.446038,1919.094077,1957.046139,1882.36149,1737.564985,1492.591706,1894.78338,1810.199055,1622.29349,2547.862258,1829.983948,1816.507442,2608.975443,1960.029764,2142.356335,1764.556995,2008.488301,2480.500363,2691.2689
21,Phitsanulok,Construction,3460.292039,4634.581056,3589.041821,2547.613224,3259.064103,2226.603122,2197.309686,2569.694377,2582.387253,1970.234376,2420.051899,2956.690298,3145.845604,3087.275537,3041.386166,2934.145727,2488.14916,3050.520838,2664.841037,2862.885815,3550.628822,3604.055235,3582.456491,3288.539217,3448.048062,3367.372892,3379.113671
