province_id,province,gdp,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,Khon Kaen,Agriculture,5181.503508,5610.089929,5294.592587,5563.596412,6210.585392,6849.031587,7182.312114,7269.837246,8278.819267,8579.411552,7994.449187,8734.477617,9590.121176,9966.359898,9718.111895,9727.850206,11296.99987,10823.74851,10457.312,10799.77651,9997.600279,10477.3822,10788.45847,11466.94998,10021.91091,10450.55854,10843.77088
23,Udon Thani,Agriculture,4721.847959,5113.053023,4815.239012,4518.631527,5217.588625,5682.549846,5128.746269,5217.412224,6614.472748,6006.891373,5446.380603,5818.786758,6247.550459,6439.157054,6622.428363,6704.081803,8081.27536,8401.727306,8426.503388,9133.681302,9505.494706,9854.578766,10100.456,11013.75284,10818.67328,10402.9758,10905.78053
16,Loei,Agriculture,2695.104732,2793.204347,2685.384615,2757.066163,2893.277737,3094.070248,3064.435371,3063.248546,3352.101151,3130.023627,2955.01356,3126.469554,3319.090727,3557.566802,4322.98626,4811.004884,5904.634117,5990.3205,6029.912682,6846.427187,7272.337589,7878.622756,8265.679618,9242.419085,9010.106696,8416.896393,8845.531279
13,Nong Khai,Agriculture,4761.403923,4268.710262,4075.880212,4810.134963,5428.323047,5488.767944,4750.602409,4658.85712,5489.869624,5795.35042,5887.456817,5707.433546,5861.108325,6408.17765,7051.480748,7369.253286,4357.188295,4541.443019,4286.483289,4498.996544,4586.139256,4763.287126,4946.005406,4546.548334,4682.509579,4891.402017,5133.581057
61,Mukdahan,Agriculture,1280.148125,1290.710858,1267.544823,1239.906774,1261.482334,1388.963427,1444.744615,1490.423148,1884.918959,1829.572453,1735.653573,1842.095883,1982.656542,2091.855151,2211.659999,2297.590987,2888.099545,2788.925835,3290.429497,3386.333144,3459.184953,3611.936707,3725.974721,4096.011734,4000.947388,3706.68702,3968.772655
72,Nakhon Phanom,Agriculture,3745.932556,3840.299296,3098.476947,3733.190479,4089.910284,3864.099431,3871.050499,3624.273838,4278.748252,4613.847633,4460.634174,4569.663422,4668.060064,4869.230204,4804.11371,5100.069012,5412.272405,5936.80562,5772.165986,5779.613144,6144.219514,6508.238896,6525.219525,6192.620205,6590.130052,6934.149314,7248.720047
24,Sakon Nakhon,Agriculture,4897.808518,4608.81012,4138.827293,4342.755182,5012.995576,5521.479103,6240.958645,5349.69717,6778.617066,7584.844462,7518.185952,5013.61384,4875.64927,5475.752673,5381.346139,5314.607811,5446.902398,6340.627783,6215.319365,6611.535485,6957.071409,7819.333191,7597.843852,8063.206519,7659.636706,8614.955455,8660.849811
20,Kalasin,Agriculture,3279.330374,3046.637168,3081.383696,3634.46533,2794.84751,3308.788936,3445.376272,3420.617331,4572.313464,4592.095338,4334.835635,4859.064704,5237.527381,5398.39231,5550.904159,5566.856995,6011.897302,6058.779257,5574.004375,6375.326845,6428.20374,6620.323123,6462.593566,7237.820865,6884.35948,6776.740052,6787.97654
6,Nakhon Ratchasima,Agriculture,12292.46268,13353.45728,13140.44084,12843.02669,12812.32816,14278.31693,14136.43098,13783.40383,16727.48527,15673.71138,14515.48286,17343.72333,18780.07724,19187.92623,19365.17653,18042.58422,22499.31705,22230.46459,20811.10741,21117.12682,20755.51426,20841.14558,21137.59269,22308.36494,19970.33494,21014.50704,22448.374
9,Chaiyaphum,Agriculture,4627.583176,5486.525333,5009.873502,4758.524725,5158.517684,6293.455408,6881.610435,5805.665002,6992.559596,5950.213114,5046.537089,5278.508936,5936.938926,6209.919843,6227.051083,6454.617534,7925.285137,8172.957709,7944.824916,8013.626284,8290.58025,8421.470419,8872.179578,9719.44753,8517.990238,8865.348226,8838.533021
