asdf_id,landscan_global_population.2021.sum,landscan_global_population.2020.sum,landscan_global_population.2019.sum,landscan_global_population.2018.sum,landscan_global_population.2017.sum,landscan_global_population.2016.sum,landscan_global_population.2015.sum,landscan_global_population.2014.sum,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
93,14104.64001,13993.25001,13963.35001,13926.45001,15723.78001,16607.72001,16642.67001,16801.14001,ADM2,93,THA,THA-ADM2-46861878B88071320,Bua Lai,ADM2
94,83604.66999,82978.76999,82777.14999,82557.28999,83702.71999,84241.21999,84389.03999,85202.85999,ADM2,94,THA,THA-ADM2-46861878B58700659,Bua Yai,ADM2
95,30605.20999,30383.76999,30309.02999,30222.92999,31606.27999,31512.56999,31410.60999,31302.68999,ADM2,95,THA,THA-ADM2-46861878B6858863,Bua Chet,ADM2
96,8084.190004,8026.030004,8005.460004,7983.240004,8424.880004,8401.520004,8373.520004,8346.650004,ADM2,96,THA,THA-ADM2-46861878B39781881,Bung Bun,ADM2
97,30653.94999,30436.32999,30360.66999,30263.57999,32049.49999,31948.78999,31848.85999,31459.70999,ADM2,97,THA,THA-ADM2-46861878B87213096,Bung Khong Long,ADM2
98,218471.5,216887.74,216536.51,215499.59,210009.09,209354.01,208665.52,208612.72,ADM2,98,THA,THA-ADM2-46861878B21672476,Bung Kum,ADM2
99,22132.75002,21974.34002,21914.31002,21870.72002,22370.09002,22408.92002,22371.97002,22293.36002,ADM2,99,THA,THA-ADM2-46861878B2511311,Bung Narang,ADM2
100,65016.24006,64547.19006,64535.10007,64362.54006,68586.28007,68429.14006,68191.34005,68046.66005,ADM2,100,THA,THA-ADM2-46861878B31719800,Buang Sam Phan,ADM2
101,16795.24002,16652.22002,16408.10002,16367.04002,17385.91002,16895.39002,16512.79002,16455.64002,ADM2,101,THA,THA-ADM2-46861878B72182144,Bung Samakki,ADM2
102,12630.32002,12581.19002,12623.47003,12587.28003,13277.96003,13199.77003,13142.68003,13045.98003,ADM2,102,THA,THA-ADM2-46861878B41968821,Bung Khla,ADM2
103,83704.56,83074.86,82737.47,82261.16,87206.73,87348.3,87060.27,86764.09,ADM2,103,THA,THA-ADM2-46861878B46879833,Buntharik,ADM2
104,70348.92002,69838.13002,69655.88002,69477.50002,70932.30002,71702.49005,71517.28006,71731.37004,ADM2,104,THA,THA-ADM2-46861878B63003884,Cha-Am,ADM2
105,86954.14998,85893.69998,85683.43998,85187.85998,82192.86998,81828.04998,81553.93998,81063.76998,ADM2,105,THA,THA-ADM2-46861878B91544478,Cha-Uat,ADM2
106,41311.6,41012.85,40909.17,40792.06,42357.66,42260.39,42161.63,42070.63,ADM2,106,THA,THA-ADM2-46861878B79795145,Chae Hom,ADM2
107,83311.32998,82707.93998,82512.69998,82320.22998,83947.22998,83843.28998,83712.42998,83428.25998,ADM2,107,THA,THA-ADM2-46861878B10475421,Chai Badan,ADM2
108,22748.28,22595.82,22541.75,22485.52003,22016.04003,21947.62003,21878.95003,21820.11003,ADM2,108,THA,THA-ADM2-46861878B84635500,Chaiburi,ADM2
109,49623.80001,49264.98001,49140.74001,48862.81001,51203.36001,51062.91001,50898.35001,50928.33001,ADM2,109,THA,THA-ADM2-46861878B76526594,Chai Prakarn,ADM2
110,31455.09002,31220.34002,31143.92002,31064.36002,33097.15002,33009.46002,32908.66002,32800.97002,ADM2,110,THA,THA-ADM2-46861878B2645252,Chai Wan,ADM2
111,55610.68002,55680.22999,55543.82999,55663.07999,54530.16999,54362.29999,54183.96999,53992.09999,ADM2,111,THA,THA-ADM2-46861878B91479178,Chaiya,ADM2
112,21189.80003,21033.73003,21401.25003,21342.72003,21475.28003,21414.45003,21345.87003,21291.35003,ADM2,112,THA,THA-ADM2-46861878B53396125,Chaiyo,ADM2
113,70589.03003,70034.85003,69847.03003,69657.01003,74724.85004,70105.16004,70034.27005,70033.43005,ADM2,113,THA,THA-ADM2-46861878B33956931,Chakkarat,ADM2
114,35443.31005,35191.61005,35105.30005,35014.06005,36634.53005,36524.77005,36403.03005,36283.58005,ADM2,114,THA,THA-ADM2-46861878B41809634,Chalermphrakiet,ADM2
115,31355.26999,31177.10999,31106.75999,31017.20999,31418.05999,35849.77999,35493.52999,35422.79999,ADM2,115,THA,THA-ADM2-46861878B45162629,Chalermphrakiet,ADM2
116,36277.07004,36017.32004,35925.08004,35825.75004,37922.58004,38027.19004,37894.88004,38769.20003,ADM2,116,THA,THA-ADM2-46861878B66000918,Chalermphrakiet,ADM2
117,13942.54001,13837.39001,13497.86001,13470.91,14181.34,14223.35001,14143.71001,14389.36,ADM2,117,THA,THA-ADM2-46861878B77731367,Chalermphrakiet,ADM2
118,26067.4099,25102.61991,25045.66991,24079.41992,23896.33991,23350.37992,23287.64992,21821.28992,ADM2,118,THA,THA-ADM2-46861878B43399089,Chalermphrakiet,ADM2
119,27118.36999,26919.20999,26852.04999,26778.07999,28313.09999,28337.93999,28252.62999,28317.66,ADM2,119,THA,THA-ADM2-46861878B72810881,Cham Ni,ADM2
120,123131.54,123073.38,122786.29,122435.22,120080.26,119740.62,119347.88,119187.1,ADM2,120,THA,THA-ADM2-46861878B69054298,Chana,ADM2
121,27201.69002,26526.22,26456.75,26388.09,26220.56,26148.64,26064.97,25975.49,ADM2,121,THA,THA-ADM2-46861878B7525077,Ja-Nae,ADM2
122,35246.72979,34977.08979,34890.86979,34789.9898,33600.2898,33722.6998,33613.6198,33503.2898,ADM2,122,THA,THA-ADM2-46861878B47978426,Chang Klang,ADM2
123,42014.49994,41712.84994,41614.92994,41513.26994,43969.58993,43838.69993,43697.94993,43543.68993,ADM2,123,THA,THA-ADM2-46861878B60053329,Changhan,ADM2
124,26677.12003,26485.56003,26547.52002,26652.36002,28093.68002,28010.49002,27915.74002,27824.41002,ADM2,124,THA,THA-ADM2-46861878B78919939,Chanuman,ADM2
125,36205.4,35938,35849.44,35750.73,38103.49,38009.29,37886.61,37768.98,ADM2,125,THA,THA-ADM2-46861878B65560514,Chareon Silp,ADM2
126,38311.61,38027.7,37932.72,37827.52,39625.43,39453.67,39299.82,39152.55001,ADM2,126,THA,THA-ADM2-46861878B59455847,Chat Trakan,ADM2
127,62348.42999,61889.14999,61740.13999,61576.80999,64067.52999,63905.10999,63681.44999,63491.38,ADM2,127,THA,THA-ADM2-46861878B15190954,Chatturat,ADM2
128,384407.2895,381622.8095,380679.3195,379650.9795,368265.7795,367119.8695,365915.9395,364645.2495,ADM2,128,THA,THA-ADM2-46861878B81796218,Chatuchak,ADM2
129,66274.31,65795.58,65808.58999,66116.88999,69324.72999,69119.19999,68895.33999,68646.02999,ADM2,129,THA,THA-ADM2-46861878B51030667,Chaturaphak Phim,ADM2
130,75618.99995,75062.21995,74873.34995,74653.05995,71590.80995,71076.79995,70850.07995,70603.19995,ADM2,130,THA,THA-ADM2-46861878B55360316,Chawang,ADM2
131,38870.08003,39199.98003,39100.58003,38994.94003,36013.10003,36045.02003,35922.72003,35786.13003,ADM2,131,THA,THA-ADM2-46861878B83033811,Chian Yai,ADM2
132,80636.73001,80065.59001,79823.08001,79593.28001,83314.90001,82776.33001,82268.10001,81674.35,ADM2,132,THA,THA-ADM2-46861878B61618541,Chiang Dao,ADM2
133,71594.81002,71062.65002,70880.57002,70008.53002,72823.17002,72147.87002,71515.57002,72324.05003,ADM2,133,THA,THA-ADM2-46861878B23456024,Chiang Kham,ADM2
134,52832.87003,52452.28003,52140.48003,52001.65003,53932.92004,53910.60004,53733.77004,53132.37002,ADM2,134,THA,THA-ADM2-46861878B70305148,Chiang Khan,ADM2
135,62462.64997,61826.35997,62093.80997,61926.27997,65216.91996,64864.80996,64631.06996,64075.45996,ADM2,135,THA,THA-ADM2-46861878B78369794,Chiang Khong,ADM2
136,25665.70007,25476.85007,25417.29007,25340.25007,26637.89007,26882.81007,26922.23007,26859.43007,ADM2,136,THA,THA-ADM2-46861878B11934032,Chiang Kwan,ADM2
137,26878.06,26683.09,26616.09,26543.35,27944.88,27859.5,27768.75,27681.95,ADM2,137,THA,THA-ADM2-46861878B98513588,Chiang Klang,ADM2
138,16635.76,16516.11,16477.55,16432.28,16796.21,16760.99,16711.17,16665.3,ADM2,138,THA,THA-ADM2-46861878B7999517,Chiang Muan,ADM2
139,49179.84007,48749.67007,49017.66007,48762.23007,51091.51008,50883.47008,50666.84008,50807.40007,ADM2,139,THA,THA-ADM2-46861878B13744180,Chiang Saen,ADM2
140,53012.01002,52649.26002,55502.45002,57518.91003,59376.88003,59183.88003,58984.74003,58668.87003,ADM2,140,THA,THA-ADM2-46861878B45387095,Chiang Yun,ADM2
141,29371.90997,29077.49997,29014.50997,28926.87997,28747.18997,28667.54997,28566.84997,27866.26997,ADM2,141,THA,THA-ADM2-46861878B98552767,Cho-I-rong,ADM2
142,72267.24998,71747.58998,71567.17998,71370.20998,75035.98998,74220.89998,73985.72998,73773.33997,ADM2,142,THA,THA-ADM2-46861878B66307886,Chok Chai,ADM2
143,58526.1,58101.54,57960.83,57808.57,59267.04,59084.81,58894.06,58685.27,ADM2,143,THA,THA-ADM2-46861878B91706504,Chom Bung,ADM2
144,50200.66003,49841.38003,49716.31003,49580.03003,51887.25003,51729.33003,51558.50003,51383.28003,ADM2,144,THA,THA-ADM2-46861878B69146233,Chom Phra,ADM2
145,294945.9286,292810.7986,292521.5786,293261.1886,284095.3786,283211.6286,282275.2986,281140.0586,ADM2,145,THA,THA-ADM2-46861878B55771620,Chom Thong,ADM2
146,63844.64999,63383.81999,63171.84999,62857.13999,65252.98999,65127.54999,64867.51999,66249.93998,ADM2,146,THA,THA-ADM2-46861878B55618191,Chom Thong,ADM2
147,84708.02003,84101.92003,83929.93003,83695.76003,89090.79003,88528.60003,88270.17003,88000.37003,ADM2,147,THA,THA-ADM2-46861878B43192329,Chon Daen,ADM2
148,50718.31001,50347.74001,50222.45001,50083.61001,52049.39001,51885.16001,51714.09001,51556.57001,ADM2,148,THA,THA-ADM2-46861878B51030529,Chonnabot,ADM2
149,25703.14002,25499.66002,22338.59001,19565.63001,20202.08001,20169.86001,20106.83001,20137.62001,ADM2,149,THA,THA-ADM2-46861878B57128452,Chun Chom,ADM2
150,39016.31006,35289.02005,35196.98005,33018.40005,31773.88005,29989.82004,29887.15004,36636.98004,ADM2,150,THA,THA-ADM2-46861878B11250944,Chulaphon,ADM2
151,126301.78,125385.77,125069.9,124733.25,129228.68,128821.36,128398.22,128002.79,ADM2,151,THA,THA-ADM2-46861878B46088822,Chum Phae,ADM2
152,93028.45,92368.56,92122.23,91916.51,96539.07,94432.86,94137.51,93914.01,ADM2,152,THA,THA-ADM2-46861878B54221789,Chum Phuang,ADM2
153,66942.73999,66461.87999,66360.14999,66177.95999,69031.78999,68845.40999,68621.03999,68398.66999,ADM2,153,THA,THA-ADM2-46861878B75143531,Chumsaeng,ADM2
154,13624.12003,13521.19003,13479.02003,13441.17003,14039.83003,14361.00003,14669.69003,14639.13003,ADM2,154,THA,THA-ADM2-46861878B57925228,Chum Ta Bong,ADM2
155,55934.86,55536.55,55456.19,55422.35,58026.22,57853.82,57663.39,57467.07,ADM2,155,THA,THA-ADM2-46861878B27002858,Chumphon Buri,ADM2
156,44012.36,43693.53,43583.84,43478.46,45239.43,45103.17,44940.08,44801.64,ADM2,156,THA,THA-ADM2-46861878B81973028,Chun,ADM2
157,110270.52,109469.25,109644.95,109360.06,111633.66,111284.79,110914.56,110532.65,ADM2,157,THA,THA-ADM2-46861878B91911760,Damnoen Saduak,ADM2
158,60816.60005,60368.20005,60085.52005,59919.46005,60663.24005,60408.66005,60180.54005,59433.42005,ADM2,158,THA,THA-ADM2-46861878B70621172,Dan Chang,ADM2
159,118616.72,117770.58,117468.71,117157.87,120901.31,121259.66,121605.82,120726.5,ADM2,159,THA,THA-ADM2-46861878B35087632,Dan Khun Thot,ADM2
160,33555.06002,33309.51002,33227.70002,33134.80002,35039.42002,34973.98002,34899.88002,34798.38002,ADM2,160,THA,THA-ADM2-46861878B81242223,Dan Makham Tia,ADM2
161,44751.68,44456.34,44320.51,44200.13,45947.22,45814.49,45675.91,45608.76999,ADM2,161,THA,THA-ADM2-46861878B20172411,Dan Sai,ADM2
162,30485.81,30264.19,30188.85,30105.46,30924.3,30759.84,30603.66,30357.87,ADM2,162,THA,THA-ADM2-46861878B77405008,Den Chai,ADM2
163,164720.69,163521.72,163151.32,162750.02,172720.58,171872.67,171303.04,170716.57,ADM2,163,THA,THA-ADM2-46861878B94821968,Det Udom,ADM2
164,182529.2206,181206.7906,180752.1506,180257.0606,174813.6106,174270.7106,173695.7606,173096.9006,ADM2,164,THA,THA-ADM2-46861878B62231168,Din Dang,ADM2
165,83487.40999,82898.79999,82749.69999,82507.01999,83439.84999,83210.20999,82970.96999,83017.31999,ADM2,165,THA,THA-ADM2-46861878B59298464,Doembang Nangbua,ADM2
166,30122.55,29904.24,29872.89,29897.71,31806.02,32138.69999,32181.95999,31503.37,ADM2,166,THA,THA-ADM2-46861878B28319835,Doi Lo,ADM2
167,13567.82,13468.17,13444.74,12352.32,13345.07999,12681.57999,12199.77999,11046.72999,ADM2,167,THA,THA-ADM2-46861878B98280938,Doi Luang,ADM2
168,76998.43004,76443.56004,76261.44004,76648.45004,80412.02004,80323.15005,80046.40005,79666.58004,ADM2,168,THA,THA-ADM2-46861878B34468274,Doi Saket,ADM2
169,29493.30002,29279.87002,29206.05002,29123.76002,30530.59002,30497.51002,30436.98002,30391.17002,ADM2,169,THA,THA-ADM2-46861878B9532480,Doi Tao,ADM2
170,65492.77005,65019.09005,64862.60005,64701.19005,67309.87006,67380.67006,67222.54007,67276.00007,ADM2,170,THA,THA-ADM2-46861878B87314045,Dok Kham Tai,ADM2
171,12429.54,12355.63,12304.24,12269.51,15946.05,15853.31,15797.8,15723.77,ADM2,171,THA,THA-ADM2-46861878B12295478,Don Chan,ADM2
172,53133.02995,52749.75995,52635.63995,52498.71995,52868.08995,52714.10995,52556.33995,52385.76995,ADM2,172,THA,THA-ADM2-46861878B81089898,Don Chedi,ADM2
173,18246.02997,18110.12997,18101.43997,17999.35998,19167.10997,19113.70997,19054.94997,20247.76997,ADM2,173,THA,THA-ADM2-46861878B46699830,Donmotdaeng,ADM2
174,127076.9191,126155.7591,125839.0091,125471.6691,116843.6992,116600.3592,116284.4992,116429.2791,ADM2,174,THA,THA-ADM2-46861878B52627342,Don Muang,ADM2
175,8474.429982,8411.899982,8420.069982,8399.449982,8759.119982,8657.829985,8630.709985,8187.499995,ADM2,175,THA,THA-ADM2-46861878B21506230,Don Phut,ADM2
176,39073.07004,39004.87004,38929.47004,38879.01004,38059.62004,37939.82004,37818.04004,37688.57004,ADM2,176,THA,THA-ADM2-46861878B87838807,Don Sak,ADM2
177,44909.99004,44586.48004,44487.50004,44362.96004,48089.06005,47963.62005,47804.82005,47670.56005,ADM2,177,THA,THA-ADM2-46861878B14752689,Don Tan,ADM2
178,64015.12994,63548.29994,63182.73994,63007.97994,54992.62995,54818.73995,54640.38995,54451.67995,ADM2,178,THA,THA-ADM2-46861878B92736124,Don Tum,ADM2
179,27296.28004,27113.02004,27064.50004,26990.58004,27720.36004,26986.86004,26916.88004,27006.60004,ADM2,179,THA,THA-ADM2-46861878B98885350,Dong Charoen,ADM2
180,33939.31999,33685.07999,33605.19999,33511.13999,36140.52999,36018.70999,35891.09999,35771.18999,ADM2,180,THA,THA-ADM2-46861878B14405777,Dong Luang,ADM2
181,243034.2809,241273.0709,240668.2609,240008.9709,232334.5109,231609.8309,230849.7509,230050.3308,ADM2,181,THA,THA-ADM2-46861878B38307074,Dusit,ADM2
182,22727.55999,22570.70999,22492.24,22440.88999,21605.82999,21228.75999,21163.92999,21355.65,ADM2,182,THA,THA-ADM2-46861878B98392940,Erawan,ADM2
183,12348.52,12257.88,12226.86,12197.74,12553.82,12426.82,12359.76,12350.47,ADM2,183,THA,THA-ADM2-46861878B16929342,Fak Tha,ADM2
184,108636.33,107853.54,107581.75,107498.99,112633.72,112317.07,111947.3,111694.86,ADM2,184,THA,THA-ADM2-46861878B46733503,Fang,ADM2
185,33301.84003,33083.83003,33024.85003,32931.88003,35236.82003,35364.67003,35325.94003,36403.30003,ADM2,185,THA,THA-ADM2-46861878B64242717,Fao Rai,ADM2
186,8067.639987,8011.999988,7946.699987,7943.639987,8387.839987,8066.799987,8014.409987,6103.749998,ADM2,186,THA,THA-ADM2-46861878B63755384,Galyani Vadhana,ADM2
187,49620.11002,47887.28001,47768.09001,47628.58001,49407.55001,49221.95001,49013.55001,48724.98001,ADM2,187,THA,THA-ADM2-46861878B56404760,Hang Chat,ADM2
188,76577.8301,76023.1901,75608.1301,75363.12009,79010.7301,78867.2101,78640.0401,77784.34011,ADM2,188,THA,THA-ADM2-46861878B86709856,Hang Dong,ADM2
189,53709.65996,53296.27996,53164.53996,53032.20996,52804.71996,53141.64996,52954.43996,52757.46996,ADM2,189,THA,THA-ADM2-46861878B863277,Han Kha,ADM2
190,12063.77999,11990.51999,11959.76999,11931.50999,11787.14999,11747.78999,11715.16999,11676.28999,ADM2,190,THA,THA-ADM2-46861878B61212836,Hat Samran,ADM2
191,429474.5501,428157.9601,427067.8301,425871.7701,417468.8101,416160.0301,414796.5801,413291.9701,ADM2,191,THA,THA-ADM2-46861878B87321900,Hat Yai,ADM2
192,50176.86998,49815.58998,49696.11998,49581.93998,51939.38998,51103.53998,50756.49998,50507.73997,ADM2,192,THA,THA-ADM2-46861878B43748656,Hot,ADM2
193,74565.92008,74033.26008,73919.05008,73801.77008,76696.85009,75515.47009,75144.9301,74599.66012,ADM2,193,THA,THA-ADM2-46861878B47188980,Hua Hin,ADM2
194,76331.02997,75804.49997,75812.58997,76013.81997,73490.74999,73272.05999,73028.64999,72778.30999,ADM2,194,THA,THA-ADM2-46861878B95169199,Hua Sai,ADM2
195,38357.96002,38079.43002,38028.71002,37928.15002,40020.59002,39878.15002,39746.95002,39606.82002,ADM2,195,THA,THA-ADM2-46861878B98794257,Hua Taphan,ADM2
196,14330.26999,14222.83999,14191.63999,14154.15999,14643.19999,14603.71999,14563.08999,14514.49999,ADM2,196,THA,THA-ADM2-46861878B52727039,Huai Khot,ADM2
197,213481.1986,211935.3686,211402.2987,210824.0587,202823.8887,202189.6487,201526.1687,200829.2087,ADM2,197,THA,THA-ADM2-46861878B22259849,Huai Kwang,ADM2
198,31054.56,30814.2,30745.44,30631.61,33136.35,33110.45,33073.19,32672.71,ADM2,198,THA,THA-ADM2-46861878B4907739,Huai Kra Chao,ADM2
199,40484.42998,40187.20998,40068.01998,40017.25998,42137.96997,42006.67998,41874.48998,41806.74997,ADM2,199,THA,THA-ADM2-46861878B78212276,Huai Mek,ADM2
200,24102.48004,23926.93003,23867.67003,23801.56003,25079.69004,24999.33004,24918.48004,24851.36004,ADM2,200,THA,THA-ADM2-46861878B27159039,Huai Phung,ADM2
201,24443.00001,24265.84001,24203.73001,24142.37001,27496.96001,29778.45001,29751.06001,30609.83002,ADM2,201,THA,THA-ADM2-46861878B18634781,Huai Rat,ADM2
202,77791.62002,77219.83002,77029.53002,76820.63002,80918.08002,82476.98001,82232.49001,82280.57001,ADM2,202,THA,THA-ADM2-46861878B32500348,Huai Thalang,ADM2
203,28979.71001,28767.61001,28703.67001,28611.60001,30224.79001,30129.44001,30029.14001,29925.42001,ADM2,203,THA,THA-ADM2-46861878B47886776,Huai Thap Than,ADM2
204,100731.32,99667.07,99417.61,99114.65,96207.29,95907.59,95591.61,95261.61,ADM2,204,THA,THA-ADM2-46861878B2023667,Huai Yot,ADM2
205,56691.68003,56277.27003,56139.01003,55985.61003,55845.31003,55670.61003,55490.82003,55298.68003,ADM2,205,THA,THA-ADM2-46861878B99045363,In Buri,ADM2
206,18394.79001,18282.30001,18202.98001,18160.49001,18005.71001,17590.99001,17538.80001,17827.56002,ADM2,206,THA,THA-ADM2-46861878B42826123,Ka Bang,ADM2
207,196232.9501,194804.7801,194350.2801,193885.3701,174816.7701,174374.9601,173815.3801,173217.1501,ADM2,207,THA,THA-ADM2-46861878B50220590,Kabin Buri,ADM2
208,26500.43,26312.41,26142.06,25745.19999,26760.58999,26691.04999,26605.02999,26516.14,ADM2,208,THA,THA-ADM2-46861878B78443741,Kae Dam,ADM2
209,49455.72999,49097.62999,48977.17999,48829.10999,43879.57999,43746.26999,43603.39999,43464.89999,ADM2,209,THA,THA-ADM2-46861878B70879988,Kang Hang Maeo,ADM2
210,107043.92,106273.09,105998.35,105617.64,109871.79,109524.58,109164.42,108818.48,ADM2,210,THA,THA-ADM2-46861878B52290088,Kaeng Khoi,ADM2
211,77052.44997,76502.25997,76308.90997,76104.42997,79105.29997,78861.92997,78613.43997,78351.32997,ADM2,211,THA,THA-ADM2-46861878B49919666,Kaeng Khlo,ADM2
212,29368.27999,29159.24999,29085.72999,28949.52999,29572.64999,29505.43999,29409.93999,29455.22999,ADM2,212,THA,THA-ADM2-46861878B18803018,Kaeng Krachan,ADM2
213,39246.31003,38958.29003,38860.36003,38756.83003,40817.71004,40777.11004,40651.02004,40623.52004,ADM2,213,THA,THA-ADM2-46861878B80764783,Kaeng Sanam Nang,ADM2
214,60364.93,59930.42,59779.49,59611.4,59371.84999,59119.45999,58913.56999,58710.62999,ADM2,214,THA,THA-ADM2-46861878B85930914,Kamalasai,ADM2
