TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Rayong,    Higher education,5,    Technical Education,Total,72442.23
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Rayong,    Higher education,6,    Teacher Training,Total,11569.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Chanthaburi,    Higher education,4,    Academic,Total,41378.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Chanthaburi,    Higher education,5,    Technical Education,Total,20173.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Chanthaburi,    Higher education,6,    Teacher Training,Total,9403.71
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Trat,    Higher education,4,    Academic,Total,22137.91
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Trat,    Higher education,5,    Technical Education,Total,10919.63
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Trat,    Higher education,6,    Teacher Training,Total,5428.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Chachoengsao,    Higher education,4,    Academic,Total,54568.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Chachoengsao,    Higher education,5,    Technical Education,Total,38726.98
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Chachoengsao,    Higher education,6,    Teacher Training,Total,11951.81
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Prachin Buri,    Higher education,4,    Academic,Total,38493.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Prachin Buri,    Higher education,5,    Technical Education,Total,40292.54
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Prachin Buri,    Higher education,6,    Teacher Training,Total,10588.48
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Nakhon Nayok,    Higher education,4,    Academic,Total,24358.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Nakhon Nayok,    Higher education,5,    Technical Education,Total,15800.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Nakhon Nayok,    Higher education,6,    Teacher Training,Total,6261.18
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Sa Kaeo,    Higher education,4,    Academic,Total,29359.45
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Sa Kaeo,    Higher education,5,    Technical Education,Total,16477.6
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Sa Kaeo,    Higher education,6,    Teacher Training,Total,8557
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Ratcha Buri,    Higher education,4,    Academic,Total,51494.65
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Ratcha Buri,    Higher education,5,    Technical Education,Total,34658.16
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Ratcha Buri,    Higher education,6,    Teacher Training,Total,15293.18
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Kanchana Buri,    Higher education,4,    Academic,Total,50822.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Kanchana Buri,    Higher education,5,    Technical Education,Total,24728.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Kanchana Buri,    Higher education,6,    Teacher Training,Total,12921.95
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Suphanburi,    Higher education,4,    Academic,Total,39816.54
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Suphanburi,    Higher education,5,    Technical Education,Total,23914.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Suphanburi,    Higher education,6,    Teacher Training,Total,12022.18
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Nakhon Pathom,    Higher education,4,    Academic,Total,100717.9
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Nakhon Pathom,    Higher education,5,    Technical Education,Total,35817.54
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Nakhon Pathom,    Higher education,6,    Teacher Training,Total,17543.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Samut Sakhon,    Higher education,4,    Academic,Total,115226.26
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Samut Sakhon,    Higher education,5,    Technical Education,Total,43072.2
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Samut Sakhon,    Higher education,6,    Teacher Training,Total,9694.53
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Samut Songkhram,    Higher education,4,    Academic,Total,15392.32
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Samut Songkhram,    Higher education,5,    Technical Education,Total,8474.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Samut Songkhram,    Higher education,6,    Teacher Training,Total,3905.89
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Phetcha Buri,    Higher education,4,    Academic,Total,43154.84
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Phetcha Buri,    Higher education,5,    Technical Education,Total,14984.6
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Phetcha Buri,    Higher education,6,    Teacher Training,Total,11778.71
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Prachuap Khiri Khan,    Higher education,4,    Academic,Total,27613.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Prachuap Khiri Khan,    Higher education,5,    Technical Education,Total,21521.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Central Region,Prachuap Khiri Khan,    Higher education,6,    Teacher Training,Total,6270.67
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Central Region,    Higher education,4,    Academic,Total,2206444.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Central Region,    Higher education,5,    Technical Education,Total,1034260.98
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Central Region,    Higher education,6,    Teacher Training,Total,345340.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Prakan,    Higher education,4,    Academic,Total,350449.06
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Prakan,    Higher education,5,    Technical Education,Total,120247.73
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Prakan,    Higher education,6,    Teacher Training,Total,20455.83
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nonthaburi,    Higher education,4,    Academic,Total,421540.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nonthaburi,    Higher education,5,    Technical Education,Total,95090.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nonthaburi,    Higher education,6,    Teacher Training,Total,39985.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Pathum Thani,    Higher education,4,    Academic,Total,232667.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Pathum Thani,    Higher education,5,    Technical Education,Total,92386.53
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Pathum Thani,    Higher education,6,    Teacher Training,Total,24551.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Phra Nakhon Si Ayutthaya,    Higher education,4,    Academic,Total,85819.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Phra Nakhon Si Ayutthaya,    Higher education,5,    Technical Education,Total,64544.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Phra Nakhon Si Ayutthaya,    Higher education,6,    Teacher Training,Total,13282.23
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Ang Thong,    Higher education,4,    Academic,Total,17948.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Ang Thong,    Higher education,5,    Technical Education,Total,13627.87
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Ang Thong,    Higher education,6,    Teacher Training,Total,6505.4
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Lop Buri,    Higher education,4,    Academic,Total,57437.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Lop Buri,    Higher education,5,    Technical Education,Total,39543.31
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Lop Buri,    Higher education,6,    Teacher Training,Total,14045.68
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Sing Buri,    Higher education,4,    Academic,Total,16018.82
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Sing Buri,    Higher education,5,    Technical Education,Total,14042.46
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Sing Buri,    Higher education,6,    Teacher Training,Total,5366.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chai Nat,    Higher education,4,    Academic,Total,22258.09
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chai Nat,    Higher education,5,    Technical Education,Total,15410.07
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chai Nat,    Higher education,6,    Teacher Training,Total,4982.06
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Saraburi,    Higher education,4,    Academic,Total,60342.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Saraburi,    Higher education,5,    Technical Education,Total,48850.59
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Saraburi,    Higher education,6,    Teacher Training,Total,18090.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chon Buri,    Higher education,4,    Academic,Total,177776.9
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chon Buri,    Higher education,5,    Technical Education,Total,110627.03
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chon Buri,    Higher education,6,    Teacher Training,Total,35394.89
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Rayong,    Higher education,4,    Academic,Total,75447.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Rayong,    Higher education,5,    Technical Education,Total,65560.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Rayong,    Higher education,6,    Teacher Training,Total,8058.66
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chanthaburi,    Higher education,4,    Academic,Total,46735.38
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chanthaburi,    Higher education,5,    Technical Education,Total,18879.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chanthaburi,    Higher education,6,    Teacher Training,Total,10104.63
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Trat,    Higher education,4,    Academic,Total,23194.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Trat,    Higher education,5,    Technical Education,Total,9961.34
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Trat,    Higher education,6,    Teacher Training,Total,3528.75
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chachoengsao,    Higher education,4,    Academic,Total,62128.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chachoengsao,    Higher education,5,    Technical Education,Total,29593.48
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Chachoengsao,    Higher education,6,    Teacher Training,Total,19968.28
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Prachin Buri,    Higher education,4,    Academic,Total,39799.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Prachin Buri,    Higher education,5,    Technical Education,Total,49461.46
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Prachin Buri,    Higher education,6,    Teacher Training,Total,9544.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nakhon Nayok,    Higher education,4,    Academic,Total,19766.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nakhon Nayok,    Higher education,5,    Technical Education,Total,17651.79
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nakhon Nayok,    Higher education,6,    Teacher Training,Total,5488.26
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Sa Kaeo,    Higher education,4,    Academic,Total,29636.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Sa Kaeo,    Higher education,5,    Technical Education,Total,19547.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Sa Kaeo,    Higher education,6,    Teacher Training,Total,10071.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Ratcha Buri,    Higher education,4,    Academic,Total,57985.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Ratcha Buri,    Higher education,5,    Technical Education,Total,33293.83
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Ratcha Buri,    Higher education,6,    Teacher Training,Total,15270.88
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Kanchana Buri,    Higher education,4,    Academic,Total,47632.59
