TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2015,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,115094.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2015,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2213149.25
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2015,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,403709.46
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2015,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,101024.2
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2251375.3
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,347995
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,106844.81
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2258763.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,343618.8
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,103178.75
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2213576.52
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,379326.68
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,109923.35
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2273010.28
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,395517.07
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2016,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,132180.87
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2234265.46
