province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Nakhon Pathom,Car park,9536,56868,5326,25116,17073,52334,28977,80906,30095
27,Nakhon Pathom,Advertisting board,2324,3761,813,2000,2084,1273,2630,2049,1807
27,Nakhon Pathom,Phone Antenna,,,,,,1454,1780,765,636
27,Nakhon Pathom,Others,14722,13004,974,10096,5686,262,2788,26532,3299
68,Samut Sakhon,Engineering construction measured in length,136755,159105,72786,190798,148741,200421,137066,138632,178398
68,Samut Sakhon,Fence / wall,10601,8728,7770,27440,21523,25938,18189,17871,8485
68,Samut Sakhon,Road,20532,14901,950,12111,8041,6333,4973,8494,13339
68,Samut Sakhon,Bridge,2545,1631,841,2101,1086,2182,1475,2298,1271
68,Samut Sakhon,Dam,,3431,444,750,3435,2447,651,194,2857
68,Samut Sakhon,Water drain,103077,130414,62482,148184,114015,163432,111778,109775,152446
68,Samut Sakhon,Others,,,299,212,641,89,0,0,0
68,Samut Sakhon,Engineering construction measured in area,56338,68909,31281,96839,49617,109240,78135,114180,103244
68,Samut Sakhon,Swimming pool,,1190,288,215,2235,8393,813,2565,1130
68,Samut Sakhon,Petrol station (Oil/LPG/NGV),854,12624,0,6582,7642,36970,7686,7832,2982
68,Samut Sakhon,Harbour,,,,1536,0,0,602,1650,475
68,Samut Sakhon,Sport ground,441,,,0,766,0,1153,1926,1209
68,Samut Sakhon,Car park,20130,45474,25641,78101,29155,57505,63844,55926,46039
68,Samut Sakhon,Advertisting board,3546,971,460,1616,2266,4106,1062,919,2273
68,Samut Sakhon,Phone Antenna,,,,,,2064,2805,886,937
68,Samut Sakhon,Others,31367,8650,4892,8789,7553,202,170,42476,48199
53,Phra Nakhon Sri Ayuthaya,Engineering construction measured in length,3718,31387,11580,31058,19645,28006,26528,34064,39379
53,Phra Nakhon Sri Ayuthaya,Fence / wall,1467,12606,2505,6141,7930,9731,11471,5432,16737
53,Phra Nakhon Sri Ayuthaya,Road,756,7242,2500,6739,4239,7897,4740,6928,2128
53,Phra Nakhon Sri Ayuthaya,Bridge,,,,6270,555,376,546,477,888
53,Phra Nakhon Sri Ayuthaya,Dam,,,,2763,1338,403,599,10349,4447
53,Phra Nakhon Sri Ayuthaya,Water drain,1495,3029,6575,8523,2595,9587,9172,10878,15179
53,Phra Nakhon Sri Ayuthaya,Others,,8510,,622,2988,12,0,0,0
53,Phra Nakhon Sri Ayuthaya,Engineering construction measured in area,11933,45900,6379,35586,13830,31502,19669,87276,24327
53,Phra Nakhon Sri Ayuthaya,Swimming pool,112,912,,0,465,252,179,135,0
53,Phra Nakhon Sri Ayuthaya,Petrol station (Oil/LPG/NGV),3880,855,,4829,3215,4634,1262,5880,13524
53,Phra Nakhon Sri Ayuthaya,Harbour,,,,0,669,679,1032,0,329
53,Phra Nakhon Sri Ayuthaya,Sport ground,,,,5000,0,2457,1922,120,0
53,Phra Nakhon Sri Ayuthaya,Car park,1108,25568,5655,13160,4408,20466,11973,42462,8513
53,Phra Nakhon Sri Ayuthaya,Advertisting board,1726,9542,50,996,2612,656,1189,4451,58
53,Phra Nakhon Sri Ayuthaya,Phone Antenna,,,,,,643,694,133,363
53,Phra Nakhon Sri Ayuthaya,Others,5107,9023,674,11601,2461,1715,1418,34095,1540
45,Ang Thong,Engineering construction measured in length,25,,644,1380,80,0,635,140,921
45,Ang Thong,Fence / wall,,,64,500,0,0,298,140,173
45,Ang Thong,Road,,,380,800,0,0,217,0,47
45,Ang Thong,Bridge,25,,,80,80,0,120,0,0
45,Ang Thong,Dam,,,,0,0,0,0,0,0
45,Ang Thong,Water drain,,,200,0,0,0,0,0,0
45,Ang Thong,Others,,,,0,0,0,0,0,701
45,Ang Thong,Engineering construction measured in area,,,134,563,1390,200,850,1348,10841
45,Ang Thong,Swimming pool,,,,0,0,200,0,0,0
45,Ang Thong,Petrol station (Oil/LPG/NGV),,,,0,500,0,0,0,5350
45,Ang Thong,Harbour,,,,0,0,0,0,0,0
45,Ang Thong,Sport ground,,,,200,550,0,0,0,0
45,Ang Thong,Car park,,,,75,200,0,850,688,64
45,Ang Thong,Advertisting board,,,,180,140,0,0,119,3
45,Ang Thong,Phone Antenna,,,,,,0,0,0,281
45,Ang Thong,Others,,,134,108,0,0,0,541,5143
62,Lop Buri,Engineering construction measured in length,6083,8860,643,6396,9686,3945,10256,2451,7029
