id,shapeISO,region,province,year,total_sol,mean_sol,gpp(millions),gdp,"population(1,000 persons)",pop,gdppc
66,TH-18,CE,Chai Nat,2016,7996.566,0.6639,16754,16754000000,298,298000,56221
66,TH-18,CE,Chai Nat,2017,10094.5407,0.8381,18923,18923000000,296,296000,63929
66,TH-18,CE,Chai Nat,2018,10866.808,0.9022,20402,20402000000,294,294000,69395
66,TH-18,CE,Chai Nat,2019,11790.4079,0.9789,20807,20807000000,293,293000,71014
66,TH-18,CE,Chai Nat,2020,12430.2284,1.032,19738,19738000000,291,291000,67828
66,TH-18,CE,Chai Nat,2021,15401.4309,1.2787,20915,20915000000,289,289000,72370
62,TH-16,CE,Lop Buri,2014,13012.8951,0.448,60247,60247000000,777,777000,77538
62,TH-16,CE,Lop Buri,2015,14490.2306,0.4988,58638,58638000000,779,779000,75273
62,TH-16,CE,Lop Buri,2016,15649.5614,0.5388,60131,60131000000,779,779000,77190
62,TH-16,CE,Lop Buri,2017,19556.5172,0.6733,64215,64215000000,778,778000,82539
62,TH-16,CE,Lop Buri,2018,18641.3136,0.6418,64515,64515000000,777,777000,83031
62,TH-16,CE,Lop Buri,2019,19327.1622,0.6654,65121,65121000000,776,776000,83919
62,TH-16,CE,Lop Buri,2020,20518.5209,0.7064,61104,61104000000,775,775000,78844
62,TH-16,CE,Lop Buri,2021,22962.0556,0.7905,62435,62435000000,774,774000,80665
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2014,40786.4146,3.4134,285784,286000000000,888,888000,321829
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2015,43689.2319,3.6564,320034,320000000000,893,893000,358381
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2016,44265.5519,3.7046,309266,309000000000,898,898000,344394
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2017,46655.8319,3.9046,310515,311000000000,902,902000,344252
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2018,46710.3171,3.9092,315678,316000000000,907,907000,348046
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2019,49141.6361,4.1127,305805,306000000000,910,910000,336049
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2020,50004.8822,4.1849,298448,298000000000,912,912000,327246
53,TH-14,CE,Phra Nakhon Sri Ayuthaya,2021,54368.1224,4.5501,321586,322000000000,915,915000,351460
17,TH-19,CE,Saraburi,2014,33759.6172,2.0045,149657,150000000000,740,740000,202239
17,TH-19,CE,Saraburi,2015,35576.5169,2.1124,151436,151000000000,745,745000,203270
17,TH-19,CE,Saraburi,2016,36819.3744,2.1862,156814,157000000000,750,750000,209085
17,TH-19,CE,Saraburi,2017,39500.1679,2.3454,155160,155000000000,755,755000,205510
17,TH-19,CE,Saraburi,2018,38076.4826,2.2608,159958,160000000000,758,758000,211026
17,TH-19,CE,Saraburi,2019,42186.1318,2.5048,159799,160000000000,760,760000,210262
17,TH-19,CE,Saraburi,2020,43869.9515,2.6048,151412,151000000000,762,762000,198703
17,TH-19,CE,Saraburi,2021,46723.6505,2.7743,153891,154000000000,763,763000,201692
49,TH-17,CE,Singburi,2014,5690.6629,1.3925,16391,16391000000,197,197000,83203
49,TH-17,CE,Singburi,2015,6606.7657,1.6166,15506,15506000000,196,196000,79112
