province_id,province-org,province,year,GINIW_province,gdppc,construction_gdp,construction_share,roadlength,allconstruction_length,allconstruction_lengthpc,edu_graduate (total),edu_graduate,total_gdp,agri_gdp,agri_share,manu_gdp,manu_share,knowledge_service_gdp,knowledge_service_share,total_area,urban_modis,total_pop,pop_density,incomegroup
64,Chon Buri,Chon Buri,2018,0.35012376,324552,12493.61095,0.021175612,17725,120874,0.066450797,1169109,0.642720726,5.90E+11,13139.99168,0.022271172,281954.9178,0.477889691,33822.28632,0.057325909,4395.2836,315.8363573,1819000,413.8527034,1
64,Chon Buri,Chon Buri,2019,0.34008899,325013,14556.84719,0.024140708,8062,109478,0.05901779,1182861,0.637660916,6.03E+11,12382.73598,0.020535217,280783.9816,0.465645077,35319.16526,0.058572413,4395.2836,318.4025991,1855000,422.0433011,1
64,Chon Buri,Chon Buri,2020,0.33152011,297187,12682.9899,0.022567598,15434,86597,0.045794289,1330086,0.703377049,5.62E+11,11478.21552,0.020423871,277322.2031,0.493455877,33948.38815,0.060406385,4395.2836,320.1134075,1891000,430.2338989,1
64,Chon Buri,Chon Buri,2021,0.3238295,311972,13179.41569,0.021929144,5196,76159,0.039542575,1365147,0.708799065,6.01E+11,11670.82851,0.019419016,302830.2372,0.503877267,35037.11954,0.058298036,4395.2836,324.3904328,1926000,438.1969801,1
19,Chumphon,Chumphon,2014,0.43585098,82973,1407.481177,0.035193188,3270,5758,0.011946058,173609,0.360184647,39993000000,15312.49069,0.382879271,5171.344597,0.129306244,2780.497961,0.069524616,5803.750933,24.77045383,482000,83.04973896,1
19,Chumphon,Chumphon,2015,0.42441013,78813,1735.232141,0.045302774,0,1430,0.002942387,189300,0.389506173,38303000000,13353.64228,0.348631759,5012.826055,0.130872936,3137.391318,0.081909806,5803.750933,24.77045383,486000,83.73894842,1
19,Chumphon,Chumphon,2016,0.43015376,87333,1875.847904,0.043835391,0,984,0.002008163,225859,0.460936735,42793000000,15641.07072,0.365505356,4396.192295,0.102731575,3256.986035,0.076110252,5803.750933,24.77045383,490000,84.42815787,1
19,Chumphon,Chumphon,2017,0.4189353,85769,1819.555715,0.042944435,36,630,0.001275304,247027,0.500054656,42370000000,15272.69874,0.360460202,4009.920928,0.094640569,3724.396631,0.087901738,5803.750933,24.77045383,494000,85.11736732,1
19,Chumphon,Chumphon,2018,0.4114278,92839,1838.879465,0.039773315,650,1253,0.002516064,242901,0.487753012,46234000000,17501.96364,0.378551794,4257.852811,0.092093542,3955.944407,0.085563533,5803.750933,24.77045383,498000,85.80657677,1
19,Chumphon,Chumphon,2019,0.41748622,111864,2007.596983,0.03596555,2135,2341,0.004691383,224941,0.450783567,55820000000,22648.30183,0.405738119,4755.699647,0.085197056,3822.885617,0.068485948,5803.750933,24.77045383,499000,85.97887914,1
19,Chumphon,Chumphon,2020,0.40878701,114456,1988.872981,0.034753494,0,2580,0.00516,235347,0.470694,57228000000,23247.46081,0.406225288,4378.902984,0.076516792,4218.400219,0.073712173,5803.750933,24.77045383,500000,86.1511815,1
